127.0.0.1 - - [20/Dec/2023:15:19:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Dec/2023:15:19:03 +0530] "GET /JSP/url_rewriting.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [20/Dec/2023:15:19:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:16:57 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:17:05 +0530] "GET /JSP/calculator.jsp?num1=&num2=&operation=sub HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:21:28 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:21:40 +0530] "GET /JSP/calculator.jsp?num1=888&num2=545&operation=add HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:21:40 +0530] "GET /JSP/calculator.jsp?num1=888&num2=545&operation=add HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:22:20 +0530] "GET /JSP/calculator.jsp?num1=888&num2=545&operation=sub HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:10 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:11 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:11 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:11 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:12 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:12 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:12 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:12 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:12 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:13 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:13 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:13 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:35 +0530] "GET /JSP/calculator.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:35 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:36 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:45 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2023:16:24:47 +0530] "GET /JSP/calculator.html HTTP/1.1" 304 -
